# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Thu Apr  8 17:44:48 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: LSST ugrizY, March 2012 total filter throughputs (all ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: luminosity functions
# age     Z  magbinc 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
1e+10 0.00049 -0.325  1.19e-05 1.79e-08 1.05e-05 1.31e-05 1.33e-05 1.49e-05 1.43e-05
1e+10 0.00049 -0.275  1.15e-05        0 1.05e-05 1.23e-05 1.41e-05 1.53e-05 1.73e-05
1e+10 0.00049 -0.225  1.15e-05 1.79e-08 1.17e-05 1.19e-05 1.50e-05 1.83e-05 1.83e-05
1e+10 0.00049 -0.175  1.32e-05        0 1.31e-05 1.30e-05 1.77e-05 1.98e-05 2.25e-05
1e+10 0.00049 -0.125  1.35e-05 1.79e-08 1.93e-05 1.37e-05 1.99e-05 2.39e-05 2.52e-05
1e+10 0.00049 -0.075  1.48e-05 1.79e-08 9.17e-06 1.51e-05 2.43e-05 2.86e-05 3.15e-05
1e+10 0.00049 -0.025  1.62e-05        0 8.58e-06 1.69e-05 2.96e-05 3.77e-05 4.04e-05
1e+10 0.00049  0.025  1.91e-05 1.79e-08 8.60e-06 1.95e-05 3.89e-05 4.98e-05 5.48e-05
1e+10 0.00049  0.075  2.40e-05 1.79e-08 8.93e-06 2.49e-05 5.47e-05 7.53e-05 8.28e-05
1e+10 0.00049  0.125  2.78e-05        0 9.54e-06 3.07e-05 9.12e-05 3.64e-04 4.34e-04
1e+10 0.00049  0.175  3.85e-05 1.79e-08 4.49e-05 4.35e-05 4.30e-04 1.16e-04 2.42e-05
1e+10 0.00049  0.225  5.62e-05 1.79e-08 1.99e-05 7.45e-05 2.70e-05 1.72e-05 1.76e-05
1e+10 0.00049  0.275  1.04e-04        0 1.40e-05 2.00e-04 1.76e-05 1.83e-05 1.88e-05
1e+10 0.00049  0.325  4.19e-04 1.79e-08 1.43e-05 3.02e-04 1.82e-05 1.90e-05 2.02e-05
1e+10 0.00049  0.375  2.77e-05        0 1.60e-05 1.98e-05 1.83e-05 2.02e-05 2.02e-05
1e+10 0.00049  0.425  1.76e-05 1.79e-08 2.00e-05 1.81e-05 2.03e-05 2.03e-05 2.11e-05
1e+10 0.00049  0.475  1.71e-05 1.79e-08 2.56e-05 1.76e-05 2.02e-05 2.21e-05 2.13e-05
1e+10 0.00049  0.525  1.90e-05        0 3.68e-05 1.86e-05 2.17e-05 2.21e-05 2.25e-05
