#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        1.12000        19.06189        19.19575        18.96345        18.84984        19.30342        17.82044       -23.68916       -24.81305
        1.13000        19.05847        19.19319        18.96018        18.84478        19.29868        17.81633       -23.71194       -24.83583
        1.14000        19.05516        19.19069        18.95703        18.83981        19.29404        17.81232       -23.73445       -24.85834
        1.15000        19.05196        19.18826        18.95401        18.83494        19.28949        17.80840       -23.75668       -24.88057
        1.16000        19.04887        19.18589        18.95110        18.83017        19.28501        17.80457       -23.77865       -24.90253
        1.17000        19.04588        19.18359        18.94831        18.82551        19.28061        17.80082       -23.80035       -24.92423
        1.18000        19.04299        19.18136        18.94563        18.82097        19.27628        17.79717       -23.82178       -24.94567
        1.19000        19.04021        19.17919        18.94308        18.81654        19.27200        17.79361       -23.84295       -24.96684
        1.20000        19.03752        19.17708        18.94064        18.81224        19.26777        17.79014       -23.86387       -24.98776
        1.21000        19.03493        19.17504        18.93833        18.80806        19.26358        17.78677       -23.88453       -25.00842
        1.22000        19.03243        19.17306        18.93614        18.80402        19.25943        17.78348       -23.90494       -25.02883
        1.23000        19.03002        19.17114        18.93408        18.80010        19.25534        17.78027       -23.92509       -25.04898
        1.24000        19.02770        19.16928        18.93215        18.79630        19.25131        17.77714       -23.94500       -25.06889
        1.25000        19.02548        19.16748        18.93035        18.79263        19.24737        17.77408       -23.96467       -25.08856
        1.26000        19.02335        19.16573        18.92868        18.78909        19.24352        17.77110       -23.98409       -25.10798
        1.27000        19.02132        19.16405        18.92715        18.78567        19.23976        17.76819       -24.00327       -25.12716
        1.28000        19.01938        19.16242        18.92575        18.78237        19.23609        17.76536       -24.02222       -25.14610
        1.29000        19.01756        19.16086        18.92448        18.77920        19.23250        17.76260       -24.04092       -25.16481
        1.30000        19.01584        19.15935        18.92334        18.77615        19.22900        17.75992       -24.05940       -25.18329
        1.31000        19.01423        19.15792        18.92233        18.77323        19.22558        17.75731       -24.07764       -25.20153
        1.32000        19.01274        19.15654        18.92144        18.77042        19.22223        17.75478       -24.09566       -25.21955
        1.33000        19.01138        19.15524        18.92067        18.76773        19.21895        17.75234       -24.11345       -25.23734
        1.34000        19.01013        19.15400        18.92002        18.76515        19.21573        17.74997       -24.13102       -25.25491
        1.35000        19.00901        19.15284        18.91948        18.76269        19.21258        17.74770       -24.14836       -25.27225
        1.36000        19.00801        19.15174        18.91907        18.76035        19.20947        17.74551       -24.16549       -25.28938
        1.37000        19.00713        19.15072        18.91876        18.75813        19.20641        17.74341       -24.18240       -25.30629
        1.38000        19.00638        19.14977        18.91856        18.75602        19.20339        17.74141       -24.19909       -25.32298
        1.39000        19.00575        19.14889        18.91847        18.75404        19.20042        17.73949       -24.21558       -25.33946
        1.40000        19.00523        19.14808        18.91848        18.75219        19.19749        17.73767       -24.23185       -25.35574
        1.41000        19.00484        19.14735        18.91858        18.75046        19.19461        17.73594       -24.24791       -25.37180
        1.42000        19.00455        19.14669        18.91878        18.74887        19.19176        17.73430       -24.26377       -25.38765
        1.43000        19.00437        19.14610        18.91908        18.74740        19.18897        17.73276       -24.27942       -25.40331
        1.44000        19.00431        19.14559        18.91946        18.74607        19.18623        17.73131       -24.29487       -25.41875
        1.45000        19.00434        19.14515        18.91992        18.74488        19.18356        17.72993       -24.31012       -25.43400
        1.46000        19.00448        19.14479        18.92047        18.74382        19.18097        17.72864       -24.32517       -25.44905
        1.47000        19.00473        19.14451        18.92110        18.74290        19.17847        17.72743       -24.34002       -25.46391
        1.48000        19.00507        19.14430        18.92181        18.74210        19.17608        17.72630       -24.35468       -25.47857
        1.49000        19.00551        19.14417        18.92260        18.74144        19.17380        17.72526       -24.36915       -25.49303
        1.50000        19.00606        19.14411        18.92347        18.74089        19.17164        17.72429       -24.38342       -25.50731
        1.51000        19.00670        19.14414        18.92441        18.74047        19.16961        17.72340       -24.39751       -25.52139
        1.52000        19.00744        19.14424        18.92543        18.74017        19.16770        17.72259       -24.41141       -25.53529
        1.53000        19.00828        19.14443        18.92650        18.73999        19.16593        17.72186       -24.42512       -25.54901
        1.54000        19.00922        19.14469        18.92765        18.73993        19.16430        17.72121       -24.43865       -25.56254
        1.55000        19.01025        19.14503        18.92886        18.73999        19.16280        17.72064       -24.45200       -25.57589
        1.56000        19.01139        19.14544        18.93012        18.74018        19.16144        17.72015       -24.46517       -25.58905
        1.57000        19.01262        19.14594        18.93145        18.74049        19.16022        17.71973       -24.47816       -25.60204
        1.58000        19.01396        19.14651        18.93283        18.74093        19.15914        17.71938       -24.49097       -25.61486
        1.59000        19.01539        19.14716        18.93427        18.74149        19.15819        17.71910       -24.50361       -25.62749
        1.60000        19.01693        19.14788        18.93576        18.74218        19.15738        17.71890       -24.51607       -25.63996
        1.61000        19.01856        19.14868        18.93731        18.74299        19.15671        17.71878       -24.52836       -25.65225
        1.62000        19.02029        19.14956        18.93891        18.74393        19.15617        17.71873       -24.54049       -25.66438
        1.63000        19.02213        19.15052        18.94057        18.74498        19.15576        17.71875       -24.55244       -25.67633
        1.64000        19.02406        19.15156        18.94228        18.74614        19.15548        17.71884       -24.56423       -25.68812
        1.65000        19.02610        19.15267        18.94406        18.74742        19.15533        17.71901       -24.57585       -25.69974
        1.66000        19.02823        19.15387        18.94590        18.74880        19.15530        17.71925       -24.58731       -25.71120
        1.67000        19.03047        19.15515        18.94779        18.75028        19.15540        17.71956       -24.59861       -25.72249
        1.68000        19.03281        19.15651        18.94974        18.75185        19.15562        17.71995       -24.60974       -25.73363
        1.69000        19.03525        19.15796        18.95175        18.75352        19.15596        17.72040       -24.62072       -25.74461
        1.70000        19.03779        19.15949        18.95382        18.75528        19.15643        17.72093       -24.63154       -25.75543
        1.71000        19.04043        19.16110        18.95595        18.75714        19.15703        17.72153       -24.64220       -25.76609
        1.72000        19.04316        19.16280        18.95814        18.75909        19.15775        17.72219       -24.65271       -25.77660
        1.73000        19.04598        19.16458        18.96039        18.76113        19.15858        17.72293       -24.66306       -25.78695
        1.74000        19.04890        19.16645        18.96268        18.76327        19.15954        17.72374       -24.67327       -25.79715
        1.75000        19.05191        19.16840        18.96504        18.76551        19.16061        17.72463       -24.68332       -25.80721
        1.76000        19.05501        19.17044        18.96744        18.76784        19.16179        17.72558       -24.69322       -25.81711
        1.77000        19.05820        19.17256        18.96989        18.77027        19.16308        17.72661       -24.70298       -25.82686
        1.78000        19.06148        19.17476        18.97240        18.77280        19.16448        17.72771       -24.71258       -25.83647
        1.79000        19.06485        19.17704        18.97495        18.77543        19.16597        17.72889       -24.72205       -25.84594
        1.80000        19.06830        19.17939        18.97755        18.77815        19.16757        17.73014       -24.73137       -25.85526
        1.81000        19.07184        19.18183        18.98020        18.78097        19.16925        17.73148       -24.74055       -25.86443
        1.82000        19.07546        19.18434        18.98290        18.78389        19.17103        17.73289       -24.74958       -25.87347
        1.83000        19.07917        19.18692        18.98564        18.78691        19.17290        17.73439       -24.75848       -25.88237
        1.84000        19.08295        19.18958        18.98843        18.79003        19.17485        17.73596       -24.76724       -25.89113
        1.85000        19.08682        19.19231        18.99126        18.79325        19.17688        17.73762       -24.77586       -25.89975
        1.86000        19.09077        19.19512        18.99415        18.79656        19.17900        17.73935       -24.78435       -25.90823
        1.87000        19.09480        19.19800        18.99708        18.79996        19.18122        17.74117       -24.79270       -25.91658
        1.88000        19.09891        19.20096        19.00006        18.80344        19.18353        17.74307       -24.80091       -25.92480
        1.89000        19.10311        19.20399        19.00309        18.80700        19.18593        17.74505       -24.80900       -25.93289
        1.90000        19.10739        19.20709        19.00618        18.81063        19.18843        17.74711       -24.81695       -25.94084
        1.91000        19.11175        19.21028        19.00931        18.81434        19.19104        17.74925       -24.82478       -25.94866
        1.92000        19.11620        19.21354        19.01250        18.81811        19.19375        17.75147       -24.83247       -25.95636
        1.93000        19.12073        19.21687        19.01573        18.82197        19.19656        17.75377       -24.84004       -25.96393
        1.94000        19.12535        19.22029        19.01902        18.82589        19.19948        17.75614       -24.84748       -25.97137
        1.95000        19.13005        19.22378        19.02236        18.82987        19.20249        17.75859       -24.85479       -25.97868
        1.96000        19.13484        19.22736        19.02575        18.83391        19.20561        17.76112       -24.86199       -25.98587
        1.97000        19.13971        19.23101        19.02918        18.83801        19.20884        17.76372       -24.86905       -25.99294
        1.98000        19.14467        19.23474        19.03267        18.84216        19.21218        17.76640       -24.87600       -25.99989
        1.99000        19.14971        19.23855        19.03621        18.84636        19.21563        17.76915       -24.88283       -26.00671
        2.00000        19.15484        19.24244        19.03979        18.85061        19.21920        17.77197       -24.88953       -26.01342
        2.01000        19.16006        19.24640        19.04342        18.85490        19.22289        17.77487       -24.89612       -26.02001
        2.02000        19.16537        19.25044        19.04710        18.85924        19.22669        17.77784       -24.90259       -26.02648
        2.03000        19.17076        19.25456        19.05083        18.86362        19.23062        17.78087       -24.90894       -26.03283
        2.04000        19.17623        19.25875        19.05461        18.86804        19.23467        17.78398       -24.91518       -26.03907
        2.05000        19.18180        19.26301        19.05844        18.87251        19.23885        17.78716       -24.92130       -26.04519
        2.06000        19.18744        19.26734        19.06231        18.87700        19.24316        17.79040       -24.92731       -26.05120
        2.07000        19.19318        19.27174        19.06624        18.88152        19.24759        17.79371       -24.93321       -26.05709
        2.08000        19.19899        19.27621        19.07023        18.88608        19.25214        17.79709       -24.93899       -26.06288
        2.09000        19.20489        19.28075        19.07426        18.89068        19.25682        17.80053       -24.94466       -26.06855
        2.10000        19.21087        19.28535        19.07834        18.89532        19.26161        17.80403       -24.95023       -26.07412
        2.11000        19.21694        19.29002        19.08248        18.89999        19.26652        17.80760       -24.95568       -26.07957
        2.12000        19.22308        19.29474        19.08667        18.90471        19.27155        17.81122       -24.96103       -26.08492
        2.13000        19.22930        19.29954        19.09092        18.90946        19.27668        17.81491       -24.96627       -26.09016
        2.14000        19.23560        19.30439        19.09521        18.91427        19.28191        17.81866       -24.97141       -26.09530
        2.15000        19.24197        19.30930        19.09956        18.91912        19.28724        17.82247       -24.97644       -26.10033
        2.16000        19.24842        19.31428        19.10396        18.92401        19.29266        17.82633       -24.98137       -26.10525
        2.17000        19.25495        19.31932        19.10841        18.92896        19.29817        17.83026       -24.98619       -26.11008
        2.18000        19.26154        19.32443        19.11291        18.93395        19.30376        17.83424       -24.99091       -26.11480
        2.19000        19.26821        19.32960        19.11745        18.93900        19.30942        17.83828       -24.99553       -26.11942
        2.20000        19.27495        19.33483        19.12204        18.94409        19.31516        17.84237       -25.00005       -26.12394
        2.21000        19.28175        19.34013        19.12668        18.94925        19.32097        17.84652       -25.00447       -26.12836
        2.22000        19.28863        19.34549        19.13136        18.95446        19.32685        17.85074       -25.00879       -26.13268
        2.23000        19.29556        19.35092        19.13608        18.95971        19.33278        17.85501       -25.01302       -26.13691
        2.24000        19.30256        19.35642        19.14085        18.96502        19.33878        17.85934       -25.01715       -26.14103
        2.25000        19.30962        19.36199        19.14566        18.97037        19.34484        17.86374       -25.02118       -26.14506
        2.26000        19.31673        19.36762        19.15051        18.97577        19.35095        17.86819       -25.02511       -26.14900
        2.27000        19.32391        19.37332        19.15539        18.98121        19.35711        17.87270       -25.02895       -26.15284
        2.28000        19.33114        19.37909        19.16032        18.98668        19.36334        17.87728       -25.03270       -26.15659
        2.29000        19.33842        19.38493        19.16529        18.99220        19.36962        17.88191       -25.03635       -26.16024
        2.30000        19.34576        19.39084        19.17029        18.99775        19.37596        17.88660       -25.03992       -26.16380
        2.31000        19.35316        19.39681        19.17534        19.00333        19.38235        17.89135       -25.04339       -26.16728
        2.32000        19.36060        19.40285        19.18043        19.00895        19.38881        17.89615       -25.04677       -26.17066
        2.33000        19.36810        19.40896        19.18557        19.01459        19.39533        17.90102       -25.05006       -26.17395
        2.34000        19.37565        19.41513        19.19076        19.02025        19.40192        17.90594       -25.05326       -26.17715
        2.35000        19.38325        19.42136        19.19599        19.02594        19.40857        17.91092       -25.05638       -26.18026
        2.36000        19.39090        19.42766        19.20127        19.03166        19.41528        17.91595       -25.05940       -26.18329
        2.37000        19.39859        19.43402        19.20660        19.03739        19.42204        17.92105       -25.06234       -26.18623
        2.38000        19.40633        19.44044        19.21198        19.04315        19.42886        17.92621       -25.06520       -26.18908
        2.39000        19.41411        19.44693        19.21741        19.04892        19.43573        17.93143       -25.06797       -26.19185
        2.40000        19.42194        19.45347        19.22289        19.05471        19.44265        17.93671       -25.07065       -26.19454
        2.41000        19.42980        19.46007        19.22843        19.06053        19.44960        17.94205       -25.07325       -26.19714
        2.42000        19.43771        19.46673        19.23402        19.06636        19.45659        17.94745       -25.07577       -26.19966
        2.43000        19.44566        19.47345        19.23966        19.07222        19.46361        17.95291       -25.07820       -26.20209
        2.44000        19.45364        19.48023        19.24535        19.07810        19.47066        17.95843       -25.08056       -26.20444
        2.45000        19.46166        19.48706        19.25110        19.08400        19.47773        17.96401       -25.08283       -26.20672
        2.46000        19.46972        19.49395        19.25690        19.08994        19.48483        17.96965       -25.08502       -26.20891
        2.47000        19.47781        19.50090        19.26274        19.09590        19.49194        17.97534       -25.08713       -26.21102
        2.48000        19.48593        19.50790        19.26863        19.10190        19.49908        17.98109       -25.08917       -26.21306
        2.49000        19.49409        19.51496        19.27457        19.10793        19.50623        17.98689       -25.09112       -26.21501
        2.50000        19.50228        19.52208        19.28055        19.11399        19.51340        17.99275       -25.09300       -26.21689
        2.51000        19.51050        19.52926        19.28657        19.12009        19.52059        17.99866       -25.09480       -26.21869
        2.52000        19.51876        19.53649        19.29264        19.12623        19.52780        18.00462       -25.09653       -26.22041
        2.53000        19.52704        19.54377        19.29875        19.13240        19.53502        18.01063       -25.09818       -26.22206
        2.54000        19.53535        19.55112        19.30490        19.13861        19.54227        18.01669       -25.09975       -26.22364
